geocode	commune	pop_natio_dens_2015	pop_natio_part_etr_2015	pop_natio_part_natifs_2010	pop_natio_pop_31_12_2015	pop_age_taux_dep_2015	pop_age_ind_fecond_2015	pop_evol_taux_1950_2000	pop_evol_taux_2000_2010	pop_mouv_tx_natur_2010	envir_tx_dechet_2010	agricult_part_sau_2010	loge_vac_tx_vac_2015	transports_tx_vehic_2014	sante_divers_tx_hospit_2014	infraction_tx_code_2015
5401	Aigle	595	39	26.2	9757	64.6	0.52	1.15	1.89	3.71	500	40	0.77	505	174	88.7
5402	Bex	74.9	30.8	8.1	7236	69.8	0.64	0.3	1.43	3.62	497	10.6	0.8	516	174	69.8
5403	Chessel	111	15.7	1.7	396	61	0.54	0.91	0.98	0	454	64	3.31	630	180	41.3
5404	Corbeyrier	19.7	9.9	4.9	433	88.3	0.56	0.48	1.83	0	529	3.9	0	570	131	16.6
5405	Gryon	83.1	31.1	5.5	1265	70.3	0.52	0.72	1.33	4.06	711	4.9	4.1	645	163	57.6
5406	Lavey-Morcles	63.9	17.3	2.2	907	63.4	0.64	-0.17	0.86	3.94	560	6.3	1.15	530	147	76.4
5407	Leysin	223	60.4	1.1	4148	59	0.37	-1.29	3.12	0.85	632	19.9	3.06	337	111	53.3
5408	Noville	99.4	26.2	4.7	1029	64.9	0.79	0.66	0.88	1.01	663	38.9	3.46	586	111	122
5409	Ollon	125	36.2	3.9	7419	80.4	0.5	0.78	1.2	1.33	703	21.6	1.71	598	109	53.5
5410	Ormont-Dessous	17.5	14.9	5.2	1119	64.1	0.57	-0.58	0.65	0	691	14.6	0	585	158	42.9
5411	Ormont-Dessus	24	25.5	5.5	1481	72.8	0.51	0.62	0.68	0.94	1013	9	1.1	651	149	42.4
5412	Rennaz	385	31.9	0.6	843	54.4	0.64	1.84	1.8	1.19	408	62.4	2.51	589	124	152
5413	Roche	234	30.7	4	1507	65.8	0.69	0.35	1.35	2.14	624	44.6	7.62	580	168	57.9
5414	Villeneuve	169	38.7	2.3	5428	65.3	0.57	1.42	1.83	2.15	517	2.8	0.83	504	156	77.4
5415	Yvorne	84.6	15.2	4	1032	55.7	0.42	0.45	0.28	1.47	525	42.9	3.25	628	144	116
5421	Apples	105	16.4	1.4	1363	78.2	0.82	1.33	1.08	3.19	487	40.6	1.74	591	155	25.4
5422	Aubonne	344	32.3	7.5	3227	62.2	0.53	0.8	1.1	0.43	591	53.6	0.41	651	116	99.5
5423	Ballens	60	19.3	3.9	509	66.3	0.47	-0.27	2.4	0	378	57.2	0.92	588	94	17.8
5424	Berolle	30.4	13	2.8	292	57.8	0.3	0.35	2.94	0	445	34.2	0.82	603	80	20.1
5425	Bière	62	24.9	4.7	1550	67.4	0.54	0.26	0.87	8.3	404	32.8	1.82	571	162	17.6
5426	Bougy-Villars	272	32.4	1.6	481	72.4	0.63	0.7	1.79	4.17	455	26	2.18	750	163	58.3
5427	Féchy	319	29	1.7	860	67.6	0.63	1.21	2.02	0.98	387	64.5	2.98	676	99	56.9
5428	Gimel	101	23.8	2.4	1907	66.7	0.54	0.57	2.65	4.91	536	29.9	0.12	602	185	38
5429	Longirod	49	18.1	1.7	463	61.3	0.76	0.71	1.91	0	463	39.2	9.43	655	0	43.3
5430	Marchissy	37.4	15	3.1	448	58.9	0.73	0.72	2.47	2	458	25.2	1.5	615	0	33.7
5431	Mollens	26.7	12.2	1.4	294	64.2	0.57	-0.51	0.04	0	373	42.9	3.18	639	189	24.3
5432	Montherod	104	28.2	1.1	518	49.7	0.43	1.27	2.17	0.88	533	44.8	3.17	607	176	38.7
5434	Saint-George	77	22.9	1.5	949	67.7	0.59	2.22	3.99	2.45	449	14.5	2.75	625	0	38.7
5435	Saint-Livres	87.8	18.2	2.6	713	57.4	0.52	0.47	1.47	7.94	401	57.4	1.62	641	106	17.2
5436	Saint-Oyens	113	17.7	1.6	345	62	0.53	1.18	2.38	4.35	352	65.1	0	653	127	0
5437	Saubraz	106	19.9	3.4	391	67.1	0.61	-0.02	5.5	0	508	28.6	2.67	566	133	51
5451	Avenches	210	35.9	2.1	4090	60	0.55	0.64	1.49	3.26	703	48.1	1.02	588	102	106
5456	Cudrefin	95.8	13.8	2.9	1516	62.7	0.64	0.51	4.11	2.08	545	43.4	1.32	663	68	32.1
5458	Faoug	247	18.6	1.1	853	52.6	0.55	0.42	2.73	0	362	53.8	5.97	582	59	47.4
5464	Vully-les-Lacs	134	13.8	4.2	2825	64.2	0.57	0.29	1.54	4.62	551	81.3	0.23	661	94	46.9
5471	Bettens	149	16.2	3.2	557	51.4	0.74	1.07	1.37	0	337	90.1	0	601	0	24.6
5472	Bournens	95.6	22	1.4	373	81.1	0.69	0.77	1.24	0	447	66.2	1.33	635	124	33.3
5473	Boussens	304	15.4	1	958	57.3	0.75	3.06	1.6	4.44	417	66.9	0.28	630	126	25.4
5474	La Chaux (Cossonay)	62.4	13.5	1.2	421	64.5	0.6	0.16	1.84	0	388	73.9	0	827	71	19
5475	Chavannes-le-Veyron	45.6	12.5	1.6	120	48.1	0.92	0.48	-0.49	0	373	86.8	0	646	0	78.7
5476	Chevilly	73.9	10.8	2	286	59.8	0.79	0.48	1.54	0	364	63.9	9.17	659	72	4
5477	Cossonay	439	23.7	1	3642	60	0.62	1.42	2.97	0.97	434	59.2	1.38	551	132	46.7
5478	Cottens	200	11.4	1.1	473	70.1	0.49	1.28	2.56	3.08	399	154	0	676	122	29.5
5479	Cuarnens	61.5	12.3	4.4	439	53.5	0.57	0.2	-0.49	2.5	469	79.8	1.65	635	0	13.8
5480	Daillens	170	20	2.1	940	54.9	0.72	0.66	4.13	1.64	395	80.9	1.02	657	119	46.8
5481	Dizy	72.7	11.3	2.3	221	57.9	0.76	0.36	3.14	0	430	75.4	3.33	621	0	22.5
5482	Eclépens	179	27.4	1.4	1039	58.4	0.55	1.54	0.83	1.32	335	78.1	0	664	140	52.3
5483	Ferreyres	99.4	6.7	0.7	313	62.2	1.33	0.82	2.79	6.25	321	59.5	0.82	570	82	36.5
5484	Gollion	158	16.1	2.1	857	53.6	0.64	0.74	1.17	6.33	518	84	1.68	645	142	23.4
5485	Grancy	69.6	15.4	2.4	396	59.7	0.33	0.38	1.62	0	437	56.2	0	714	153	12.9
5486	L'Isle	63.7	12.4	4.8	1032	62	0.65	0.33	1.13	1.92	640	41.3	0	689	309	30.9
5487	Lussery-Villars	113	21	2.9	423	42.9	0.52	0.74	0.68	0	446	85.4	0	696	177	17.2
5488	Mauraz	98	0	5.6	49	63.3	ND	0.14	2.07	16.7	356	170	0	674	0	40.8
5489	Mex	240	26.8	0.6	678	55.9	0.37	2.07	2.24	1.35	585	39.9	0.96	760	135	63.4
5490	Moiry	43.5	7.6	2.3	290	64.8	0.7	0.39	2.35	4	444	36.7	0	620	0	7.6
5491	Mont-la-Ville	19.3	11.3	5.8	382	78.5	0.45	-0.14	0.54	0	341	16.8	0	605	0	77.7
5492	Montricher	37	14.2	5.9	961	64.8	0.57	0.23	1.52	1.37	597	25.1	0.74	653	133	19.3
5493	Orny	67.4	17.9	2.5	375	60.9	0.69	0.1	1.41	0	328	80.3	0	621	137	32.8
5494	Pampigny	101	15	3.2	1124	60.1	0.71	0.9	1.79	0.9	446	54.7	0	605	120	21.8
5495	Penthalaz	838	26.8	0.3	3241	60.6	0.57	1.85	2.53	4.55	534	54	0.57	579	140	54.9
5496	Penthaz	432	22.6	0.3	1653	65.8	0.58	3.25	2.31	1.86	468	44.7	0	648	105	25.9
5497	Pompaples	187	25.5	18.7	834	67.5	0.57	0.77	0.79	1.85	349	57.2	0	563	158	42.9
5498	La Sarraz	332	28.3	1	2559	57.5	0.5	1.03	2.53	0.69	489	26.7	0.18	555	127	48.6
5499	Senarclens	114	13.1	1.8	451	81.1	0.62	1.28	1.44	6.25	494	117	0	655	0	34
5500	Sévery	97.1	10.8	2.7	231	60.4	0.71	0.67	1.34	0	399	76.9	6.19	610	65	17.9
5501	Sullens	236	14.1	1.8	925	67	0.74	2.17	0.49	0	411	59	0.78	676	117	60.6
5503	Vufflens-la-Ville	226	15.8	0.8	1216	66.8	0.52	2.22	1.36	0.72	442	46.2	0	649	117	63.5
5511	Assens	193	12.9	6.5	1031	69.3	0.8	1.17	1.9	1.01	455	90.7	0	630	225	47.9
5512	Bercher	270	18.6	1.6	1148	70.3	0.82	1.47	2.68	0.59	459	45	0.43	629	150	24.5
