geocode	canton	abbr	accients_1000hab	rapport_gde_petites_entreprises	rapport_temporaire_100permanent	rapport_nonhab_100hab	votation_immigration_masse_2014	votation_fonds_ferroviaire_2014	pop2012
1	Zürich	ZH	2.087215803	0.864115026	6.123113256	2.05584258	47.3	63.13492159	1408575
2	Bern / Berne	BE	2.615308825	0.617736239	11.29131255	3.635498369	51.1	57.6080344	992617
3	Luzern	LU	2.670417165	0.470644642	8.387460962	2.984842438	53.3	61.26526381	386082
4	Uri	UR	2.969769983	0.388178353	15.30841266	6.570910799	58.2	51.494126	35693
5	Schwyz	SZ	2.1023827	0.157054415	11.50411159	3.39986184	63.1	49.51016958	149830
6	Obwalden	OW	2.215146061	0.348976608	30.53861789	4.255871286	59.1	52.27409739	36115
7	Nidwalden	NW	1.899769142	0.338269483	14.63397742	2.307878202	58.8	51.64963993	41584
8	Glarus	GL	2.057456374	0.339963206	19.48937308	7.126076742	59.4	50.86718569	39369
9	Zug	ZG	2.393309029	0.432446369	10.41732119	1.27089508	49.9	63.94139028	116575
10	Fribourg / Freiburg	FR	1.801678134	0.345475988	11.45731727	3.750356451	48.5	58.56206631	291395
11	Solothurn	SO	2.618760196	0.544829542	6.727587207	4.968618267	54.6	53.43804864	259283
12	Basel-Stadt	BS	1.365879685	1.551159631	8.916148903	4.181374939	39	72.27695851	187425
13	Basel-Landschaft	BL	1.742985568	0.457689715	5.942035621	2.59909762	50.6	63.02808057	276537
14	Schaffhausen	SH	2.155089475	0.53607966	8.471496707	4.869586025	58.1	53.38917372	77955
15	Appenzell Ausserrhoden	AR	1.983607171	0.342993788	13.37231595	5.956709225	54.4	55.70569871	53438
16	Appenzell Innerrhoden	AI	1.272507476	0	13.09290474	5.6152513	63.5	51.48825065	15717
17	St. Gallen	SG	2.484293516	0.492320288	10.59432102	3.97219865	55.9	57.83436889	487060
18	Graubünden / Grigioni / Grischun	GR	2.578382838	0.17924897	64.37489081	5.456492769	50.6	64.56578565	193920
19	Aargau	AG	1.992539931	0.656186094	6.153641802	3.594651387	55.2	55.43633892	627340
20	Thurgau	TG	2.404249589	0.450629782	8.989763629	4.816911886	57.8	54.19918093	256213
21	Ticino	TI	3.073302659	0.420176054	33.66771253	3.244421647	68.2	71.75634842	341652
22	Vaud	VD	2.393934277	0.62859266	16.10455125	3.538741774	38.9	73.91551958	734356
23	Valais / Wallis	VS	1.725038231	0.319069208	60.48296849	5.640307308	48.3	59.97428755	321732
24	Neuchâtel	NE	1.695750312	0.508833733	8.920669709	3.974682255	39.3	68.70234159	174554
25	Genève	GE	2.209021358	0.952861294	12.9180668	2.371727017	39.1	76.60975371	463101
26	Jura	JU	2.072115249	0.29535856	10.32807262	5.974531426	44.1	64.91504711	70942
